Rocket_Type,Max_Altitude_km,Fuel_Consumption_kg_per_km,Compatible_Launch_Sites
Falcon 1,800,15,Cape Canaveral (USA); Satish Dhawan Space Centre (India)
Electron,500,12,Mahia Peninsula (New Zealand)
Falcon 9,36000,25,Cape Canaveral (USA); Guiana Space Centre (French Guiana)
Delta IV,20000,22,Baikonur Cosmodrome (Kazakhstan)
PSLV,1800,20,Satish Dhawan Space Centre (India)
GSLV,36000,28,Satish Dhawan Space Centre (India)
Ariane 5,36000,30,Guiana Space Centre (French Guiana)
Falcon Heavy,36000,40,Cape Canaveral (USA)
Saturn V,40000,60,Kennedy Space Center (USA)
Soyuz,20000,24,Baikonur Cosmodrome (Kazakhstan); Plesetsk Cosmodrome (Russia)
Proton-M,36000,35,Baikonur Cosmodrome (Kazakhstan)
Long March 3B,36000,33,Xichang Satellite Launch Center (China)
Long March 5,Interplanetary,45,Wenchang Spacecraft Launch Site (China)
H-IIA,36000,32,Tanegashima Space Center (Japan)
H-IIB,36000,34,Tanegashima Space Center (Japan)
Vega,2000,18,Guiana Space Centre (French Guiana)
Nuri,800,19,Naro Space Center (South Korea)
GSLV Mk III,36000,30,Satish Dhawan Space Centre (India)
Atlas V,36000,26,Cape Canaveral (USA); Vandenberg Space Force Base (USA)
Delta IV Heavy,Interplanetary,50,Cape Canaveral (USA); Vandenberg Space Force Base (USA)
Angara A5,36000,36,Plesetsk Cosmodrome (Russia)
Ariane 6,36000,32,Guiana Space Centre (French Guiana)
Starship,Interplanetary,48,Boca Chica (USA); Kennedy Space Center (USA)